q1,q2,q3,q4,q5
-0.289513545,0.239675269,-0.658855220,0.419179951,1.570796327
-0.291873701,0.223844583,-0.647688446,0.423843863,1.570796327
-0.293958917,0.207446275,-0.636052190,0.428605915,1.570796327
-0.295768151,0.190501930,-0.623901797,0.433399867,1.570796327
-0.297300512,0.173035876,-0.611196222,0.438160347,1.570796327
-0.298555259,0.155075420,-0.597898979,0.442823559,1.570796327
-0.299531789,0.136651072,-0.583979052,0.447327980,1.570796327
-0.300229638,0.117796742,-0.569411797,0.451615055,1.570796327
-0.300648479,0.098549939,-0.554179830,0.455629891,1.570796327
-0.300788114,0.078951986,-0.538273942,0.459321956,1.570796327
-0.300648479,0.059048267,-0.521694072,0.462645805,1.570796327
-0.300229638,0.038888543,-0.504450385,0.465561842,1.570796327
-0.299531789,0.018527356,-0.486564519,0.468037163,1.570796327
-0.298555259,-0.001975401,-0.468071097,0.470046498,1.570796327
-0.297300512,-0.022553730,-0.449019598,0.471573328,1.570796327
-0.295768151,-0.043134472,-0.429476761,0.472611233,1.570796327
